addr	size	zone	nstores	stb	stw	sth	stfs	psq_st	stwu	ncallsites	name
0x802A018C	348	MW	2	0	0	2	0	0	0	1	fn_802A018C
0x802A02E8	496	MW	6	0	0	6	0	0	0	2	fn_802A02E8
0x802A04D8	400	MW	3	0	0	3	0	0	0	2	fn_802A04D8
0x802A0668	344	MW	2	0	0	2	0	0	0	1	fn_802A0668
0x802A07C0	492	MW	6	0	0	6	0	0	0	1	fn_802A07C0
0x802A09AC	396	MW	3	0	0	3	0	0	0	1	fn_802A09AC
0x802A0B38	344	MW	2	0	0	2	0	0	0	1	fn_802A0B38
0x802A0C90	344	MW	2	0	0	2	0	0	0	1	fn_802A0C90
0x802A0DE8	492	MW	6	0	0	6	0	0	0	2	fn_802A0DE8
0x802A0FD4	396	MW	3	0	0	3	0	0	0	2	fn_802A0FD4
0x802A2394	312	MW	3	0	0	0	3	0	0	2	fn_802A2394
0x802A24CC	312	MW	3	0	0	0	3	0	0	2	fn_802A24CC
0x802A2604	364	MW	6	0	0	0	6	0	0	1	fn_802A2604
0x802A2770	444	MW	7	0	0	4	3	0	0	2	fn_802A2770
0x802A292C	352	MW	4	0	1	0	3	0	0	2	fn_802A292C
0x802A2A8C	504	MW	10	0	0	4	6	0	0	1	fn_802A2A8C
0x802A2C84	404	MW	7	0	1	0	6	0	0	1	fn_802A2C84
0x802A2E18	364	MW	6	0	0	0	6	0	0	1	fn_802A2E18
0x802A2F84	376	MW	6	0	0	0	6	0	0	6	fn_802A2F84
0x802A30FC	376	MW	6	0	0	0	6	0	0	2	fn_802A30FC
0x802A3274	376	MW	6	0	0	0	6	0	0	1	fn_802A3274
0x802A33EC	516	MW	10	0	0	4	6	0	0	4	fn_802A33EC
0x802A35F0	416	MW	7	0	1	0	6	0	0	4	fn_802A35F0
0x802A3790	516	MW	10	0	0	4	6	0	0	2	fn_802A3790
0x802A3994	416	MW	7	0	1	0	6	0	0	2	fn_802A3994
0x802A3B34	468	MW	4	0	0	1	3	0	0	2	fn_802A3B34
0x802A3D08	468	MW	4	0	0	1	3	0	0	2	fn_802A3D08
0x802A3EDC	368	MW	6	0	0	0	6	0	0	1	fn_802A3EDC
0x802A404C	656	MW	8	0	0	5	3	0	0	2	fn_802A404C
0x802A42DC	532	MW	5	0	1	1	3	0	0	2	fn_802A42DC
0x802A44F0	508	MW	10	0	0	4	6	0	0	1	fn_802A44F0
0x802A46EC	408	MW	7	0	1	0	6	0	0	1	fn_802A46EC
0x802A4884	368	MW	6	0	0	0	6	0	0	1	fn_802A4884
0x802A49F4	556	MW	7	0	0	1	6	0	0	4	fn_802A49F4
0x802A4C20	556	MW	7	0	0	1	6	0	0	2	fn_802A4C20
0x802A4E4C	380	MW	6	0	0	0	6	0	0	1	fn_802A4E4C
0x802A4FC8	764	MW	11	0	0	5	6	0	0	4	fn_802A4FC8
0x802A52C4	620	MW	8	0	1	1	6	0	0	4	fn_802A52C4
0x802A5530	520	MW	10	0	0	4	6	0	0	2	fn_802A5530
0x802A5738	420	MW	7	0	1	0	6	0	0	2	fn_802A5738
0x802A58DC	380	MW	6	0	0	0	6	0	0	2	fn_802A58DC
0x802AA2F0	2924	MW	114	0	24	0	90	0	0	7	fn_802AA2F0
0x802AAE5C	992	MW	30	0	6	0	24	0	0	5	fn_802AAE5C
0x802AB608	756	MW	12	0	0	0	12	0	0	1	fn_802AB608
0x802AB8FC	672	MW	20	0	0	0	20	0	0	1	fn_802AB8FC
0x802ABB9C	1476	MW	52	0	0	0	52	0	0	1	fn_802ABB9C
0x802AC5E8	172	MW	3	0	0	3	0	0	0	2	fn_802AC5E8
