address	size	name	source	frame	leaf	calls	tail_calls	jump_tables	unresolved
0x80021784	76	fn_80021784	auto	1	0	1	0	0	0
0x800217D0	188	fn_800217D0	auto	0	1	0	0	1	0
0x8002188C	168	fn_8002188C	auto	1	0	1	0	0	0
0x80021934	428	fn_80021934	auto	1	0	13	0	0	0
0x80021AE0	476	fn_80021AE0	auto	1	0	13	0	0	0
0x80021CBC	508	fn_80021CBC	auto	1	0	13	0	0	0
0x80021EB8	276	fn_80021EB8	auto	1	0	2	0	0	0
0x80021FCC	560	fn_80021FCC	auto	1	0	5	0	0	0
0x800221FC	1620	fn_800221FC	auto	1	0	14	0	0	0
0x80022850	588	fn_80022850	auto	1	0	6	0	0	0
0x80022A9C	16	fn_80022A9C	auto	0	1	0	0	0	0
0x80022AAC	88	fn_80022AAC	auto	1	0	2	0	0	0
0x80022B04	1032	fn_80022B04	auto	1	0	5	0	0	0
0x80022F0C	16	fn_80022F0C	auto	0	1	0	0	0	0
0x80022F1C	88	fn_80022F1C	auto	1	0	2	0	0	0
0x80022F74	1528	fn_80022F74	auto	1	0	5	0	1	0
0x8002356C	1944	fn_8002356C	auto	1	0	4	0	1	0
0x80023D04	16	fn_80023D04	auto	0	1	0	0	0	0
0x80023D14	88	fn_80023D14	auto	1	0	2	0	0	0
0x80023D6C	640	fn_80023D6C	auto	1	0	2	0	0	0
0x80023FEC	256	fn_80023FEC	auto	1	0	1	0	1	0
0x800240EC	1440	fn_800240EC	auto	1	0	5	0	0	0
0x8002468C	2664	fn_8002468C	auto	1	0	8	0	2	0
0x800250F4	1060	fn_800250F4	auto	1	0	8	0	2	0
0x80025518	164	fn_80025518	auto	0	1	0	0	0	0
0x800255BC	16	fn_800255BC	auto	0	1	0	0	0	0
0x800255CC	88	fn_800255CC	auto	1	0	2	0	0	0
0x80025624	5372	fn_80025624	auto	1	0	12	0	0	0
0x80026B20	1228	fn_80026B20	auto	1	0	1	0	2	0
0x80026FEC	1176	fn_80026FEC	auto	1	0	6	0	0	0
0x80027484	880	fn_80027484	auto	1	0	5	0	0	0
0x800277F4	1040	fn_800277F4	auto	1	0	4	0	0	0
0x80027C04	3980	fn_80027C04	auto	1	0	16	0	1	0
